name,old_price,present_price,discount,due_discount,type_of_device,trademark,series,link
Chuột Có dây Gaming Corsair Harpoon RGB Pro,500.000₫,450.000₫,-10%,23:00 | 30/11,Chuột máy tính,Corsair,,https://www.thegioididong.com/chuot-may-tinh/chuot-gaming-corsair-harpoon-rgb-pro-den
Chuột Có dây DareU EM908,419.000₫,314.000₫,-25%,23:00 | 30/11,Chuột máy tính,DareU,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-dareu-em908-den
Chuột Không dây A4Tech FG20,250.000₫,200.000₫,-20%,23:00 | 30/11,Chuột máy tính,A4Tech,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-a4tech-fg20-xam
Chuột Có dây Gaming Asus TUF M3 Gen II,590.000₫,490.000₫,-16%,23:00 | 30/11,Chuột máy tính,Asus,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-gaming-asus-tuf-m3-gen-ii
Chuột Không dây Gaming MSI Clutch GM41 Lightweight,1.890.000₫,1.320.000₫,-30%,23:00 | 30/11,Chuột máy tính,MSI,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-gaming-msi-clutch-gm41-lightweight
Chuột Có dây Gaming MSI Clutch GM20 Elite,840.000₫,755.000₫,-10%,23:00 | 30/11,Chuột máy tính,MSI,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-gaming-msi-clutch-gm20-elite
Chuột Bluetooth Silent Xiaomi HLK404,350.000₫,300.000₫,-14%,23:00 | 30/11,Chuột máy tính,Xiaomi,,https://www.thegioididong.com/chuot-may-tinh/chuot-bluetooth-silent-xiaomi-hlk404
Chuột Không dây Bluetooth Silent Rapoo M650,350.000₫,295.000₫,-15%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-bluetooth-silent-m650-rapoo
Chuột Sạc Bluetooth Silent Zadez M382Z,450.000₫,400.000₫,-11%,23:00 | 30/11,Chuột máy tính,Zadez,,https://www.thegioididong.com/chuot-may-tinh/chuot-sac-bluetooth-silent-zadez-m382z
Chuột Sạc Bluetooth Silent Zadez M382B,390.000₫,350.000₫,-10%,23:00 | 30/11,Chuột máy tính,Zadez,,https://www.thegioididong.com/chuot-may-tinh/chuot-sac-bluetooth-silent-zadez-m382b
Chuột Không Dây Silent Zadez M326,220.000₫,200.000₫,-9%,23:00 | 30/11,Chuột máy tính,Zadez,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-silent-zadez-m326
