Laptop MSI Gaming GF63 Thin 12VE i5 12450H/8GB/512GB/6GB RTX4050/144Hz/Win11 (460VN),22.490.000₫,20.990.000₫ *,-6%,23:00 | 30/11,Laptop,MSI,Gaming,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ve-i5-460vn
Laptop Acer Aspire 3 A314 35 C3KS N5100/4GB/256GB/Win11 (NX.A7SSV.009),6.990.000₫,5.990.000₫ *,-14%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-c3ks-n5100-nxa7ssv009
Laptop MSI Gaming GF63 Thin 11UC i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Win11 (1228VN),20.490.000₫,19.590.000₫ *,empty,23:00 | 30/11,Laptop,MSI,Gaming,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-11uc-i7-1228vn
Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Chuột/Win11 (L1341W),20.990.000₫,18.490.000₫ *,-11%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1341w
Laptop Acer Nitro 5 Gaming AN515 57 5669 i5 11400H/8GB/512GB/144Hz/4GB GTX1650/Win11 (NH.QEHSV.001),23.790.000₫,17.990.000₫ *,-24%,23:00 | 30/11,Laptop,Acer,Nitro,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-5669-i5-nhqehsv001
Laptop Lenovo Ideapad 5 15IAL7 i5 1235U/8GB/512GB/Win11 (82SF005HVN),19.490.000₫,13.990.000₫ *,-28%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-5-15ial7-i5-82sf005hvn
Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA),20.990.000₫,18.790.000₫ *,-10%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa
Laptop MSI Gaming GF63 Thin 11SC i5 11400H/8GB/512GB/4GB GTX1650/144Hz/Win11 (664VN),16.490.000₫,15.040.000₫ *,-8%,23:00 | 30/11,Laptop,MSI,Gaming,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-11sc-i5-664vn
Laptop Dell Vostro 3520 i3 1215U/8GB/256GB/OfficeHS/Win11 (V5I3614W1),13.990.000₫,10.990.000₫,-21%,23:00 | 30/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-3520-i3-v5i3614w1
Laptop Lenovo Ideapad 3 15ITL6 i3 1115G4/8GB/512GB/Win11 (82H803SFVN),11.290.000₫,8.990.000₫ *,-20%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i3-82h803sfvn
Laptop Acer Gaming Nitro 5 AN515 58 769J i7 12700H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.003),31.790.000₫,24.490.000₫ *,-22%,23:00 | 30/11,Laptop,Acer,Gaming,https://www.thegioididong.com/laptop/acer-nitro-5-an515-58-769j-i7-nhqfhsv003
Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),18.990.000₫,16.490.000₫,-13%,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu
Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),18.590.000₫,15.790.000₫ *,-15%,23:00 | 30/11,Laptop,HP,240,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y2pa
Laptop HP 240 G9 i5 1235U/8GB/256GB/Win11 (6L1Y1PA),17.590.000₫,14.290.000₫ *,-18%,23:00 | 30/11,Laptop,HP,240,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y1pa
Laptop Lenovo Ideapad 1 15ALC7 R7 5700U/16GB/512GB/Win11 (82R400C1VN),13.990.000₫,12.990.000₫ *,-7%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn
Laptop Dell Inspiron 15 3520 i3 1215U/8GB/256GB/OfficeHS/Win11 (i3U082W11BLU),13.690.000₫,10.990.000₫,-19%,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i3-i3u082w11blu
Laptop Asus Gaming TUF Dash F15 FX517ZE i5 12450H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (HN045W),24.990.000₫,20.490.000₫ *,-18%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517ze-i5-hn045w
Laptop Asus Gaming ROG Strix G15 G513IH R7 4800H/8GB/512GB/4GB GTX1650/144Hz/Win11 (HN015W),22.990.000₫,17.990.000₫ *,-21%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-rog-strix-gaming-g513ih-r7-hn015w
Laptop Asus Vivobook 14X OLED A1405ZA i5 12500H/8GB/512GB/Win11 (KM146W),19.490.000₫,16.990.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-a1405za-i5-km146w
Laptop Acer Aspire Vero AV15 51 58HB i5 1155G7/8GB/512GB/Win11 (NX.AYCSV.002),17.990.000₫,12.990.000₫ *,-27%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-vero-av15-51-58hb-i5-nxaycsv002
Laptop Acer Nitro 5 Tiger AN515 58 52SP i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.001),27.990.000₫,22.990.000₫ *,-17%,23:00 | 30/11,Laptop,Acer,Nitro,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001
Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/Win11 (L1201W),24.990.000₫,22.990.000₫ *,-8%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-l1201w
Laptop Acer Gaming Nitro 5 AN515 57 53F9 i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.008),24.990.000₫,19.990.000₫ *,-20%,23:00 | 30/11,Laptop,Acer,Gaming,https://www.thegioididong.com/laptop/acer-gaming-nitro-5-an515-57-53f9-i5-nhqensv008
Laptop Dell Inspiron 15 3530 i5 1335U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5791W1),19.990.000₫,19.490.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5791w1
Laptop Asus Vivobook S 14 Flip TP3402VA i3 1315U/8GB/256GB/Touch/Win11 (LZ025W),16.990.000₫,13.990.000₫ *,-17%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i3-lz025w
Laptop Acer TravelMate P4 TMP414 51 50HX i5 1135G7/8GB/512GB/Win11 (NX.VP2SV.00T),22.490.000₫,13.990.000₫ *,-37%,23:00 | 30/11,Laptop,Acer,TravelMate,https://www.thegioididong.com/laptop/acer-travelmate-p4-tmp414-51-50hx-i5-nxvp2sv00t
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/8GB/512GB/Win11 (NJ630W),13.990.000₫,12.490.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj630w
Laptop HP 245 G9 R5 5625U/8GB/512GB/Win11 (6L1N9PA),13.990.000₫,11.790.000₫ *,-15%,23:00 | 30/11,Laptop,HP,245,https://www.thegioididong.com/laptop/hp-245-g9-r5-6l1n9pa
Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W),29.490.000₫,24.990.000₫ *,-15%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-k3405vc-i5-km006w
Laptop Asus Vivobook 14 X1404VA i5 1335U/8GB/512GB/Win11 (NK123W),17.990.000₫,15.490.000₫ *,-13%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk123w
Laptop HP Envy X360 13 bf0112TU i5 1230U/16GB/512GB/Touch/Pen/Win11 (7C0N9PA),29.590.000₫,23.890.000₫ *,-19%,23:00 | 30/11,Laptop,HP,Envy,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0112tu-i5-7c0n9pa
Laptop Acer Aspire 7 Gaming A715 76G 5806 i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QMFSV.002),22.990.000₫,20.990.000₫ *,-8%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002
Laptop HP 240 G10 i5 1335U/16GB/512GB/Win11 (8F136PA),19.590.000₫,18.790.000₫ *,empty,23:00 | 30/11,Laptop,HP,240,https://www.thegioididong.com/laptop/hp-240-g10-i5-8f136pa
Laptop HP 240 G10 i5 1335U/8GB/512GB/Win11 (8F134PA),18.790.000₫,17.590.000₫ *,-6%,23:00 | 30/11,Laptop,HP,240,https://www.thegioididong.com/laptop/hp-240-g10-i5-8f134pa
Laptop Dell Vostro 3420 i5 1235U/8GB/512GB/OfficeHS/Win11 (71003348),17.590.000₫,16.490.000₫,-6%,23:00 | 30/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-3420-i5-71003348
Laptop Acer Swift 3 SF314 512 56QN i5 1240P/16GB/512GB/Win11 (NX.K0FSV.002),23.990.000₫,18.490.000₫ *,-22%,23:00 | 30/11,Laptop,Acer,Swift,https://www.thegioididong.com/laptop/acer-swift-3-sf314-512-56qn-i5-nxk0fsv002
Laptop HP EliteBook 630 G9 i7 1255U/16GB/512GB/Win11 (6M146PA),27.790.000₫,23.890.000₫ *,-14%,23:00 | 30/11,Laptop,HP,EliteBook,https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i7-6m146pa
Laptop HP Elitebook 630 G9 i5 1235U/16GB/512GB/Win11 (7K9H3PA),23.390.000₫,20.390.000₫ *,-12%,23:00 | 30/11,Laptop,HP,Elitebook,https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i5-7k9h3pa
Laptop Acer TravelMate P4 TMP414 51 73F4 i7 1165G7/16GB/1TB/Win11 (NX.VP2SV.00W),29.790.000₫,17.990.000₫ *,-39%,23:00 | 30/11,Laptop,Acer,TravelMate,https://www.thegioididong.com/laptop/acer-travelmate-p4-tmp414-51-73f4-i7-nxvp2sv00w
Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (873F2PA),27.790.000₫,25.990.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Elitebook,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-873f2pa
Laptop Asus Zenbook 14 OLED UX3402ZA i5 1240P/8GB/512GB/90Hz/Cáp/Túi/Win11 (KM220W),25.490.000₫,20.290.000₫ *,-20%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402za-i5-km218w
Laptop Lenovo Ideapad 5 Pro 14IAP7 i5 1240P/16GB/512GB/Win11 (82SH000SVN),24.990.000₫,19.990.000₫ *,-20%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-5-pro-14iap7-i5-82sh000svn
Laptop MacBook Air 15 inch M2 2023 8CPU/16GB/256GB/10GPU (Z18R),37.990.000₫,36.490.000₫,empty,23:00 | 30/11,Laptop,MacBook,Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023-16gb
Laptop HP Gaming VICTUS 16 r0128TX i5 13450HX/16GB/512GB/144Hz/6GB RTX4050/Win11 (8C5N3PA),31.690.000₫,29.490.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-gaming-victus-16-r0128tx-i5-8c5n3pa
Laptop Asus Zenbook 14 Flip OLED UP3404VA i7 1360P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN039W),33.990.000₫,30.990.000₫ *,-8%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-flip-oled-up3404va-i7-kn039w
Laptop Asus Gaming ROG Strix G17 G713RW R9 6900HX/32GB/1TB/8GB RTX3070Ti/240Hz/Balo/Win11 (LL178W),57.990.000₫,41.990.000₫ *,-27%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g17-g713r-r9-ll178w
Laptop HP Gaming VICTUS 16 r0130TX i5 13500H/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N5PA),29.690.000₫,27.490.000₫ *,-7%,23:00 | 30/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-gaming-victus-16-r0130tx-i5-8c5n5pa
Laptop Apple MacBook Pro 16 inch M2 Pro 2023 12-core CPU/16GB/512GB/19-core GPU (MNW83SA/A),59.690.000₫,58.990.000₫,empty,23:00 | 30/11,Laptop,MacBook,Pro,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m2-pro
Laptop MacBook Pro 16 inch M2 Pro 2023 12-core CPU/16GB/1TB/19-core GPU (MNWD3SA/A),65.990.000₫,64.490.000₫,empty,23:00 | 30/11,Laptop,MacBook,Pro,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m2-pro-1tb
Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/16GB/512GB/10-core GPU (Z16U),40.190.000₫,39.890.000₫,empty,23:00 | 30/11,Laptop,MacBook,Pro,https://www.thegioididong.com/laptop/apple-macbook-pro-m2-2022-16gb
Laptop Asus TUF Gaming F15 FX507ZU4 i7 12700H/8GB/512GB/6GB RTX4050/144Hz/Win11 (LP520W),31.990.000₫,27.990.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zu4-i7-lp520w
Laptop Asus TUF Gaming F15 FX507VV4 i9 13900H/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP382W),40.990.000₫,36.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507vv4-i9-lp382w
Laptop Asus Gaming ROG Strix SCAR 17 G733PZ R9 7945HX/32GB/1TB/12GB RTX4080/240Hz/Balo/Chuột/Win11 (LL980W),90.000.000₫,76.990.000₫ *,-14%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-scar-17-g733pz-r9-ll980w
Laptop Apple MacBook Air 13 inch M2 2022 8-core CPU/16GB/512GB/10-core GPU (Z15Z0003L),39.190.000₫,37.690.000₫,empty,23:00 | 30/11,Laptop,MacBook,Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb
Laptop Asus Gaming ROG Strix G16 G614JU i7 13650HX/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3777W),43.990.000₫,38.990.000₫ *,-11%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i7-n3777w
Laptop Asus Vivobook Pro 15 OLED K6502VU i5 13500H/16GB/512GB/6GB RTX4050/Win11 (MA089W),36.990.000₫,33.590.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-k6502vu-i5-ma089w
Laptop Asus Gaming ROG Strix SCAR 18 G834JY i9 13980HX/64GB/2TB/16GB RTX4090/240Hz/Balo/Chuột/Win11(N6039W),125.000.000₫,111.990.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-scar-18-g834jy-i9-n6039w
Laptop Asus Gaming ROG Zephyrus Duo 16 GX650PZ R9 7945HX/32GB/1TB/12GB RTX4080/240Hz/Balo/Chuột/Win11 (NM031W),125.000.000₫,108.990.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-rog-zephyrus-duo-16-gx650pz-r9-nm031w
Laptop Asus Gaming ROG Strix SCAR 16 G634JZ i9 13980HX/32GB/1TB/12GB RTX4080/240Hz/Balo/Chuột/Win11(N4029W),95.000.000₫,84.990.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-scar-16-g634j-i9-n4029w
Laptop Asus Gaming ROG Zephyrus M16 GU604VI i9 13900H/32GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (NM779W),80.990.000₫,72.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-m16-gu604vi-i9-nm779w
Laptop Dell XPS 15 9530 i7 13700H/16GB/512GB/6GB RTX4050/Touch/Cáp/OfficeHS/Win11 (71015716),74.490.000₫,69.990.000₫,-6%,23:00 | 30/11,Laptop,Dell,XPS,https://www.thegioididong.com/laptop/dell-xps-15-9530-i7-71015716
Laptop Asus Gaming ROG Strix G18 G814JI i9 13980HX/32GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (N6063W),70.990.000₫,63.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g18-g814ji-i9-n6063w
Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U085W11BLU),19.990.000₫,17.990.000₫,-10%,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-3530-i5-1335u-i5u085w11blu
Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),19.490.000₫,16.790.000₫,-13%,23:00 | 06/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2
